name,lat,lon,category
condo387,1.3317758150305,103.946201241591,condo
condo388,1.3937596396214,103.881144437617,condo
condo389,1.34858741668021,103.867524716657,condo
condo390,1.32242229055037,103.852590390225,condo
condo391,1.24374601223412,103.842511120506,condo
condo392,1.32920617249191,103.868121237592,condo
condo393,1.33405738767157,103.783567190752,condo
condo394,1.29056999681587,103.819000781728,condo
condo395,1.31407172413974,103.907820631927,condo
condo396,1.35469895424795,103.878329825749,condo
condo397,1.32010701731526,103.82397812475,condo
condo398,1.35490484651228,103.875717809943,condo
condo399,1.30414392147877,103.903040922862,condo
condo400,1.31742494084104,103.910444979932,condo
condo401,1.32188081945719,103.946623660377,condo
condo402,1.2812613665939,103.784653411147,condo
condo403,1.35676800402302,103.876689634317,condo
condo404,1.32751668761838,103.842603758766,condo
condo405,1.3620994674031,103.886835430404,condo
condo406,1.29563102657533,103.841615089993,condo
condo407,1.32798732117053,103.862540519298,condo
condo408,1.29155320677629,103.844671834054,condo
condo409,1.31371862266175,103.886588867863,condo
condo410,1.36475888333025,103.773547196813,condo
condo411,1.31166297790982,103.821882516747,condo
condo412,1.31167742470116,103.890523888329,condo
condo413,1.35765733124624,103.877033725045,condo
condo414,1.35336633955725,103.754920517536,condo
condo415,1.30434010161975,103.910387227881,condo
condo416,1.34054847886549,103.773649129593,condo
condo417,1.31152961287463,103.933508200344,condo
condo418,1.31489027644596,103.832928141724,condo
condo419,1.29632245359379,103.840086255046,condo
condo420,1.42728727458399,103.786050332413,condo
condo421,1.31003444599099,103.893748167258,condo
condo422,1.30862818277128,103.9135193784,condo
condo423,1.31514147457982,103.888042831488,condo
condo424,1.30666665433205,103.911398464222,condo
condo425,1.35713586866266,103.827049193083,condo
condo426,1.27946304467549,103.816177229866,condo
condo427,1.30083818355869,103.84888070239,condo
condo428,1.30280719548036,103.848840359826,condo
condo429,1.32063437606503,103.83351207863,condo
condo430,1.33748572319326,103.930157734494,condo
condo431,1.31525716426833,103.844513119763,condo
condo432,1.37349863800841,103.764142243891,condo
condo433,1.31548625190694,103.905442615417,condo
condo434,1.26372399980548,103.812189999971,condo
condo435,1.35665447059553,103.828736711218,condo
condo436,1.29728166021583,103.834690606647,condo
condo437,1.27468927785411,103.842478784985,condo
